brand, product_name
ASUS,ASUS ROG Strix Radeon RX 5700 XT ROG-STRIX-RX5700XT-O8G-GAMING Video Card
MSI,MSI GeForce GTX 1660 DirectX 12 GTX 1660 VENTUS XS 6G OC Video Card
EVGA,EVGA GeForce RTX 2060 KO ULTRA GAMING Video Card| 06G-P4-2068-KR| 6GB GDDR6| Dual Fans| Metal Backplate
EVGA,EVGA GeForce RTX 2060 SC Ultra GAMING| 06G-P4-2067-KR| 6GB GDDR6| Dual HDB Fans
ASRock,ASRock Radeon RX 5700 XT DirectX 12 RX 5700 XT TAICHI X 8G OC+ Video Card
MSI,MSI Radeon RX 570 DirectX 12 RX 570 ARMOR 8G OC Video Card
ZOTAC,ZOTAC GAMING GeForce RTX 2070 SUPER MINI 8GB GDDR6 Gaming Graphics Card| ZT-T20710E-10M
ASRock,ASRock Radeon RX 5700 XT DirectX 12 RX 5700 XT CHALLENGER D 8G OC Video Card
MSI,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 SUPER VENTUS GP OC Video Card
MSI,MSI GeForce RTX 2070 DirectX 12 RTX 2070 TRI FROZR Video Card
GIGABYTE,GIGABYTE Radeon RX 5700 XT GAMING OC 8G Graphics Card| GV-R57XTGAMING OC-8GD
MSI,MSI Radeon RX 570 DirectX 12 RX 570 8GT OC Video Card
